Ta, Tb
9.965202, 10.686629
9.965006, 10.686628
9.964806, 10.686628
9.964601, 10.686628
9.964393, 10.686627
9.964181, 10.686627
9.963966, 10.686627
9.963749, 10.686626
9.963529, 10.686626
9.963308, 10.686625
9.963085, 10.686625
9.962861, 10.686625
9.962636, 10.686625
9.962410, 10.686624
9.962184, 10.686624
9.961958, 10.686624
9.961732, 10.686623
9.961507, 10.686623
9.961281, 10.686623
9.961056, 10.686623
9.960833, 10.686622
9.960609, 10.686622
9.960387, 10.686622
9.960166, 10.686622
9.959947, 10.686621
9.959729, 10.686621
9.959512, 10.686621
9.959297, 10.686621
9.959083, 10.686621
9.958871, 10.686621
9.958661, 10.686620
9.958452, 10.686620
9.958246, 10.686620
9.958041, 10.686620
9.957839, 10.686620
9.957638, 10.686620
9.957439, 10.686620
9.957243, 10.686620
9.957048, 10.686619
9.956856, 10.686619
9.956665, 10.686619
9.956477, 10.686619
9.956291, 10.686619
9.956107, 10.686619
9.955925, 10.686619
9.955746, 10.686619
9.955568, 10.686619
9.955393, 10.686619
9.955219, 10.686619
9.955048, 10.686619
9.954879, 10.686619
9.954712, 10.686619
9.954547, 10.686620
9.954385, 10.686621
9.954224, 10.686623
9.954066, 10.686624
9.953909, 10.686626
9.953755, 10.686627
9.953602, 10.686629
9.953452, 10.686630
9.953303, 10.686632
9.953157, 10.686633
9.953012, 10.686635
9.952870, 10.686637
9.952729, 10.686638
9.952590, 10.686640
9.952454, 10.686642
9.952319, 10.686643
9.952185, 10.686645
9.952054, 10.686647
9.951925, 10.686649
9.951797, 10.686650
9.951671, 10.686652
9.951546, 10.686654
9.951424, 10.686656
9.951303, 10.686658
9.951184, 10.686660
9.951066, 10.686662
9.950951, 10.686664
9.950836, 10.686666
9.950724, 10.686668
9.950612, 10.686670
9.950503, 10.686672
9.950395, 10.686674
9.950288, 10.686676
9.950183, 10.686679
9.950080, 10.686681
9.949978, 10.686683
9.949877, 10.686685
9.949778, 10.686688
9.949680, 10.686690
9.949585, 10.686692
9.949491, 10.686695
9.949398, 10.686697
9.949306, 10.686700
9.949216, 10.686702
9.949127, 10.686704
9.949040, 10.686707
9.948953, 10.686710
9.948868, 10.686712
9.948784, 10.686715
9.948701, 10.686717
9.948620, 10.686720
9.948539, 10.686723
9.948460, 10.686726
9.948382, 10.686730
9.948305, 10.686733
9.948229, 10.686737
9.948154, 10.686740
9.948081, 10.686744
9.948008, 10.686747
9.947936, 10.686751
9.947865, 10.686755
9.947796, 10.686758
9.947727, 10.686762
9.947659, 10.686766
9.947593, 10.686769
9.947527, 10.686773
9.947462, 10.686777
9.947398, 10.686781
9.947335, 10.686784
9.947273, 10.686788
9.947212, 10.686792
9.947151, 10.686796
9.947092, 10.686800
9.947033, 10.686804
9.946975, 10.686808
9.946918, 10.686812
9.946862, 10.686816
9.946806, 10.686820
9.946752, 10.686825
9.946698, 10.686829
9.946645, 10.686833
9.946592, 10.686837
9.946541, 10.686842
9.946490, 10.686846
9.946439, 10.686850
9.946390, 10.686855
9.946341, 10.686859
9.946293, 10.686863
9.946246, 10.686868
9.946199, 10.686872
9.946153, 10.686877
9.946107, 10.686882
9.946062, 10.686886
9.946018, 10.686891
9.945975, 10.686896
9.945932, 10.686900
9.945889, 10.686905
9.945848, 10.686910
9.945806, 10.686915
9.945766, 10.686920
9.945726, 10.686924
9.945686, 10.686929
9.945647, 10.686934
9.945610, 10.686939
9.945574, 10.686944
9.945539, 10.686949
9.945505, 10.686955
9.945471, 10.686960
9.945438, 10.686965
9.945405, 10.686970
9.945373, 10.686975
9.945341, 10.686981
9.945310, 10.686986
9.945279, 10.686991
9.945249, 10.686997
9.945219, 10.687002
9.945190, 10.687008
9.945161, 10.687013
9.945133, 10.687019
9.945105, 10.687024
9.945078, 10.687030
9.945051, 10.687036
9.945025, 10.687041
9.944999, 10.687047
9.944974, 10.687053
9.944949, 10.687059
9.944924, 10.687065
9.944900, 10.687071
9.944877, 10.687077
9.944854, 10.687083
9.944831, 10.687089
9.944809, 10.687095
9.944787, 10.687101
