Ta, Tb
1.084843, 1.130277
1.085000, 1.130269
1.085159, 1.130262
1.085319, 1.130255
1.085481, 1.130248
1.085645, 1.130240
1.085810, 1.130233
1.085977, 1.130226
1.086145, 1.130219
1.086315, 1.130212
1.086487, 1.130204
1.086660, 1.130197
1.086835, 1.130190
1.087012, 1.130183
1.087190, 1.130176
1.087370, 1.130169
1.087551, 1.130162
1.087734, 1.130155
1.087918, 1.130148
1.088104, 1.130140
1.088292, 1.130133
1.088481, 1.130126
1.088672, 1.130119
1.088864, 1.130112
1.089058, 1.130105
1.089253, 1.130099
1.089450, 1.130092
1.089648, 1.130085
1.089848, 1.130078
1.090049, 1.130071
1.090252, 1.130064
1.090455, 1.130057
1.090661, 1.130050
1.090867, 1.130043
1.091075, 1.130036
1.091283, 1.130030
1.091493, 1.130023
1.091705, 1.130016
1.091917, 1.130009
1.092130, 1.130002
1.092344, 1.129996
1.092559, 1.129989
1.092775, 1.129982
1.092991, 1.129976
1.093208, 1.129969
1.093426, 1.129962
1.093644, 1.129955
1.093863, 1.129949
1.094082, 1.129942
1.094301, 1.129935
1.094520, 1.129929
1.094739, 1.129922
1.094958, 1.129916
1.095177, 1.129909
1.095395, 1.129902
1.095613, 1.129896
1.095830, 1.129889
1.096045, 1.129883
1.096260, 1.129876
1.096474, 1.129870
1.096686, 1.129863
1.096896, 1.129857
1.097104, 1.129850
1.097311, 1.129844
1.097514, 1.129837
1.097715, 1.129831
1.097913, 1.129824
1.098108, 1.129818
1.098300, 1.129811
1.098487, 1.129805
1.098670, 1.129799
1.098849, 1.129792
1.099022, 1.129786
1.099191, 1.129780
1.099353, 1.129773
1.099510, 1.129767
1.099659, 1.129761
1.099802, 1.129754
1.099937, 1.129748
1.100064, 1.129742
1.100182, 1.129735
1.100291, 1.129729
1.100390, 1.129723
1.100478, 1.129717
1.100555, 1.129710
1.100621, 1.129704
1.100674, 1.129698
1.100714, 1.129692
1.100739, 1.129686
1.100750, 1.129679
1.100745, 1.129673
1.100724, 1.129667
1.100686, 1.129661
1.100629, 1.129655
1.100553, 1.129649
1.100457, 1.129643
1.100340, 1.129637
1.100200, 1.129630
1.100038, 1.129624
1.099851, 1.129618
1.099639, 1.129612
1.099401, 1.129606
1.099135, 1.129600
1.098840, 1.129594
1.098516, 1.129588
1.098161, 1.129582
1.097775, 1.129576
1.097355, 1.129570
1.096901, 1.129564
1.096412, 1.129558
1.095887, 1.129552
1.095325, 1.129546
1.094725, 1.129540
1.094086, 1.129535
1.093407, 1.129529
1.092689, 1.129523
1.091929, 1.129517
1.091128, 1.129511
1.090286, 1.129505
1.089402, 1.129499
1.088476, 1.129493
1.087508, 1.129488
1.086500, 1.129482
1.085450, 1.129476
1.084360, 1.129470
1.083232, 1.129464
1.082066, 1.129459
1.080864, 1.129453
1.079627, 1.129447
1.078359, 1.129441
1.077062, 1.129436
1.075738, 1.129430
1.074391, 1.129424
1.073024, 1.129418
1.071641, 1.129413
1.070247, 1.129407
1.068845, 1.129401
1.067441, 1.129396
1.066041, 1.129390
1.064648, 1.129384
1.063270, 1.129379
1.061912, 1.129373
1.060580, 1.129367
1.059281, 1.129362
1.058020, 1.129356
1.056804, 1.129351
1.055640, 1.129345
1.054534, 1.129339
1.053492, 1.129334
1.052520, 1.129328
1.051624, 1.129323
1.050809, 1.129317
1.050080, 1.129312
1.049441, 1.129306
1.048897, 1.129301
1.048451, 1.129295
1.048106, 1.129290
1.047864, 1.129284
1.047727, 1.129279
1.047696, 1.129273
1.047770, 1.129268
1.047949, 1.129262
1.048232, 1.129257
1.048618, 1.129251
1.049103, 1.129246
1.049684, 1.129241
1.050358, 1.129235
1.051120, 1.129230
1.051966, 1.129224
1.052890, 1.129219
1.053887, 1.129214
1.054951, 1.129208
1.056077, 1.129203
1.057256, 1.129198
1.058485, 1.129192
1.059755, 1.129187
1.061061, 1.129182
1.062397, 1.129176
1.063756, 1.129171
1.065132, 1.129166
1.066520, 1.129161
1.067913, 1.129155
1.069308, 1.129150
1.070698, 1.129145
1.072079, 1.129140
1.073446, 1.129134
1.074797, 1.129129
1.076126, 1.129124
1.077431, 1.129119
1.078709, 1.129113
1.079957, 1.129108
1.081172, 1.129103
1.082354, 1.129098
1.083499, 1.129093
1.084607, 1.129088
1.085677, 1.129082
1.086707, 1.129077
1.087697, 1.129072
1.088646, 1.129067
1.089555, 1.129062
1.090424, 1.129057
1.091251, 1.129052
1.092039, 1.129047
1.092787, 1.129042
1.093495, 1.129036
1.094165, 1.129031
1.094797, 1.129026
1.095392, 1.129021
1.095951, 1.129016
1.096474, 1.129011
1.096964, 1.129006
1.097421, 1.129001
1.097846, 1.128996
1.098239, 1.128991
1.098604, 1.128986
1.098939, 1.128981
1.099248, 1.128976
1.099529, 1.128971
1.099786, 1.128966
1.100019, 1.128961
1.100228, 1.128956
1.100416, 1.128951
1.100583, 1.128946
1.100730, 1.128942
1.100858, 1.128937
1.100969, 1.128932
1.101062, 1.128927
1.101140, 1.128922
1.101203, 1.128917
1.101251, 1.128912
1.101286, 1.128907
1.101309, 1.128902
1.101320, 1.128898
1.101319, 1.128893
1.101309, 1.128888
1.101289, 1.128883
1.101260, 1.128878
1.101222, 1.128873
1.101177, 1.128869
1.101125, 1.128864
1.101066, 1.128859
1.101002, 1.128854
1.100931, 1.128849
1.100856, 1.128845
1.100776, 1.128840
1.100691, 1.128835
1.100603, 1.128830
1.100511, 1.128826
1.100417, 1.128821
1.100319, 1.128816
1.100220, 1.128811
1.100118, 1.128807
1.100014, 1.128802
1.099908, 1.128797
1.099802, 1.128793
1.099694, 1.128788
1.099585, 1.128783
1.099476, 1.128779
1.099367, 1.128774
1.099257, 1.128769
1.099147, 1.128765
1.099037, 1.128760
1.098927, 1.128755
1.098817, 1.128751
1.098708, 1.128746
1.098600, 1.128742
1.098492, 1.128737
1.098385, 1.128732
1.098279, 1.128728
1.098174, 1.128723
1.098070, 1.128719
1.097967, 1.128714
1.097865, 1.128709
1.097764, 1.128705
1.097665, 1.128700
1.097566, 1.128696
1.097469, 1.128691
1.097374, 1.128687
1.097279, 1.128682
1.097187, 1.128678
1.097095, 1.128673
1.097005, 1.128669
1.096916, 1.128664
1.096829, 1.128660
1.096744, 1.128655
1.096659, 1.128651
1.096576, 1.128646
1.096495, 1.128642
1.096415, 1.128637
1.096336, 1.128633
1.096259, 1.128628
1.096183, 1.128624
1.096109, 1.128620
1.096036, 1.128615
1.095964, 1.128611
1.095894, 1.128606
1.095825, 1.128602
1.095757, 1.128598
1.095690, 1.128593
1.095625, 1.128589
1.095561, 1.128584
1.095499, 1.128580
1.095437, 1.128576
1.095377, 1.128571
1.095318, 1.128567
1.095259, 1.128563
1.095203, 1.128558
1.095147, 1.128554
1.095092, 1.128550
1.095038, 1.128545
1.094986, 1.128541
1.094932, 1.128537
1.094878, 1.128532
1.094826, 1.128528
1.094774, 1.128524
1.094723, 1.128519
1.094672, 1.128515
1.094623, 1.128511
1.094575, 1.128507
1.094527, 1.128502
1.094481, 1.128498
1.094435, 1.128494
1.094390, 1.128490
1.094345, 1.128485
1.094302, 1.128481
1.094259, 1.128477
1.094217, 1.128473
1.094176, 1.128469
1.094135, 1.128464
1.094095, 1.128460
1.094056, 1.128456
1.094018, 1.128452
1.093980, 1.128448
1.093943, 1.128443
1.093906, 1.128439
1.093871, 1.128435
1.093836, 1.128431
1.093801, 1.128427
1.093767, 1.128423
1.093734, 1.128419
1.093701, 1.128414
1.093669, 1.128410
1.093638, 1.128406
1.093607, 1.128402
1.093577, 1.128398
1.093547, 1.128394
1.093518, 1.128390
1.093490, 1.128386
1.093462, 1.128382
1.093435, 1.128378
1.093408, 1.128373
1.093382, 1.128369
1.093356, 1.128365
1.093332, 1.128361
1.093307, 1.128357
1.093284, 1.128353
1.093260, 1.128349
1.093238, 1.128345
1.093216, 1.128341
1.093194, 1.128337
1.093174, 1.128333
1.093153, 1.128329
1.093134, 1.128325
1.093115, 1.128321
1.093096, 1.128317
1.093078, 1.128313
1.093061, 1.128309
1.093045, 1.128305
1.093028, 1.128301
1.093013, 1.128297
1.092998, 1.128293
1.092984, 1.128289
1.092970, 1.128285
1.092957, 1.128281
1.092945, 1.128277
1.092933, 1.128274
1.092922, 1.128270
1.092912, 1.128266
1.092902, 1.128262
1.092893, 1.128258
1.092884, 1.128254
1.092877, 1.128250
1.092869, 1.128246
1.092863, 1.128242
1.092857, 1.128238
1.092852, 1.128235
1.092847, 1.128231
1.092843, 1.128227
1.092840, 1.128223
1.092838, 1.128219
1.092836, 1.128215
1.092835, 1.128211
1.092834, 1.128208
1.092834, 1.128204
1.092835, 1.128200
1.092837, 1.128196
1.092839, 1.128192
1.092842, 1.128188
1.092846, 1.128185
1.092851, 1.128181
1.092856, 1.128177
1.092862, 1.128173
1.092868, 1.128170
1.092876, 1.128166
1.092884, 1.128162
1.092892, 1.128158
1.092902, 1.128154
1.092912, 1.128151
1.092923, 1.128147
1.092935, 1.128143
1.092947, 1.128139
1.092961, 1.128136
1.092974, 1.128132
1.092989, 1.128128
1.093004, 1.128124
1.093021, 1.128121
1.093037, 1.128117
1.093055, 1.128113
1.093073, 1.128110
1.093092, 1.128106
1.093112, 1.128102
1.093133, 1.128099
1.093154, 1.128095
1.093176, 1.128091
1.093199, 1.128088
1.093222, 1.128084
1.093247, 1.128080
1.093272, 1.128077
1.093297, 1.128073
1.093324, 1.128069
1.093351, 1.128066
1.093378, 1.128062
1.093407, 1.128058
1.093436, 1.128055
1.093466, 1.128051
1.093497, 1.128047
1.093528, 1.128044
1.093560, 1.128040
1.093593, 1.128037
1.093626, 1.128033
1.093660, 1.128029
1.093695, 1.128026
1.093730, 1.128022
1.093766, 1.128019
1.093803, 1.128015
1.093840, 1.128012
1.093878, 1.128008
1.093916, 1.128004
1.093955, 1.128001
1.093995, 1.127997
1.094035, 1.127994
1.094076, 1.127990
1.094117, 1.127987
1.094159, 1.127983
1.094202, 1.127980
1.094245, 1.127976
1.094288, 1.127973
1.094332, 1.127969
1.094377, 1.127966
1.094422, 1.127962
1.094467, 1.127959
1.094513, 1.127955
1.094559, 1.127952
1.094606, 1.127948
1.094653, 1.127945
1.094701, 1.127941
1.094750, 1.127938
1.094799, 1.127934
1.094848, 1.127931
1.094897, 1.127927
1.094947, 1.127924
1.094997, 1.127920
1.095048, 1.127917
1.095098, 1.127913
1.095149, 1.127910
1.095200, 1.127907
1.095251, 1.127903
1.095302, 1.127900
1.095353, 1.127896
1.095404, 1.127893
1.095455, 1.127890
1.095507, 1.127886
1.095558, 1.127883
1.095609, 1.127879
1.095660, 1.127876
1.095710, 1.127873
1.095761, 1.127869
1.095811, 1.127866
1.095861, 1.127862
1.095911, 1.127859
1.095960, 1.127856
1.096010, 1.127852
1.096058, 1.127849
1.096106, 1.127846
1.096154, 1.127842
1.096201, 1.127839
1.096248, 1.127836
1.096294, 1.127832
1.096339, 1.127829
1.096383, 1.127826
1.096427, 1.127822
1.096470, 1.127819
1.096512, 1.127816
1.096553, 1.127812
1.096593, 1.127809
1.096632, 1.127806
1.096670, 1.127802
1.096707, 1.127799
1.096742, 1.127796
1.096777, 1.127793
1.096810, 1.127789
1.096841, 1.127786
1.096871, 1.127783
1.096900, 1.127780
1.096927, 1.127776
1.096953, 1.127773
1.096976, 1.127770
1.096998, 1.127766
1.097019, 1.127763
1.097037, 1.127760
1.097053, 1.127757
1.097068, 1.127754
1.097080, 1.127750
1.097090, 1.127747
1.097098, 1.127744
1.097103, 1.127741
1.097107, 1.127737
1.097107, 1.127734
1.097106, 1.127731
1.097101, 1.127728
1.097095, 1.127725
1.097085, 1.127721
1.097073, 1.127718
1.097058, 1.127715
1.097040, 1.127712
1.097019, 1.127709
1.096995, 1.127706
1.096968, 1.127702
1.096938, 1.127699
1.096904, 1.127696
1.096868, 1.127693
1.096828, 1.127690
1.096785, 1.127687
1.096738, 1.127684
1.096688, 1.127682
1.096635, 1.127679
1.096578, 1.127676
1.096517, 1.127673
1.096453, 1.127671
1.096386, 1.127668
1.096314, 1.127665
1.096239, 1.127662
1.096161, 1.127659
1.096078, 1.127657
1.095993, 1.127654
1.095903, 1.127651
1.095810, 1.127649
1.095713, 1.127646
1.095612, 1.127643
1.095508, 1.127640
1.095400, 1.127638
1.095289, 1.127635
1.095175, 1.127632
1.095057, 1.127630
1.094935, 1.127627
1.094810, 1.127624
1.094682, 1.127622
1.094551, 1.127619
1.094417, 1.127616
1.094280, 1.127614
1.094141, 1.127611
1.093998, 1.127608
1.093853, 1.127606
1.093706, 1.127603
1.093556, 1.127600
1.093404, 1.127598
1.093251, 1.127595
1.093095, 1.127592
1.092938, 1.127590
1.092780, 1.127587
1.092620, 1.127585
1.092460, 1.127582
1.092299, 1.127579
1.092137, 1.127577
1.091975, 1.127574
1.091813, 1.127572
1.091651, 1.127569
1.091490, 1.127567
1.091329, 1.127564
1.091170, 1.127561
1.091012, 1.127559
1.090855, 1.127556
1.090700, 1.127554
1.090548, 1.127551
1.090397, 1.127549
1.090250, 1.127546
1.090105, 1.127544
1.089964, 1.127541
1.089826, 1.127539
1.089692, 1.127536
1.089563, 1.127534
1.089437, 1.127531
1.089317, 1.127529
1.089201, 1.127526
1.089090, 1.127524
1.088985, 1.127521
1.088886, 1.127519
1.088792, 1.127516
1.088705, 1.127514
1.088624, 1.127511
1.088550, 1.127509
1.088482, 1.127506
1.088421, 1.127504
1.088367, 1.127501
1.088321, 1.127499
1.088282, 1.127497
1.088250, 1.127494
1.088226, 1.127492
1.088210, 1.127489
1.088201, 1.127487
1.088200, 1.127484
1.088207, 1.127482
1.088221, 1.127480
1.088244, 1.127477
1.088274, 1.127475
1.088311, 1.127472
1.088357, 1.127470
1.088410, 1.127468
1.088471, 1.127465
1.088539, 1.127463
1.088614, 1.127461
1.088696, 1.127458
1.088786, 1.127456
1.088882, 1.127454
1.088984, 1.127451
1.089093, 1.127449
1.089209, 1.127447
1.089330, 1.127444
1.089457, 1.127442
1.089590, 1.127440
1.089727, 1.127437
1.089870, 1.127435
1.090018, 1.127433
1.090169, 1.127430
1.090326, 1.127428
1.090486, 1.127426
1.090649, 1.127423
1.090816, 1.127421
1.090986, 1.127419
1.091159, 1.127417
1.091334, 1.127414
1.091511, 1.127412
1.091691, 1.127410
1.091871, 1.127408
1.092054, 1.127405
1.092237, 1.127403
1.092421, 1.127401
1.092605, 1.127399
1.092790, 1.127396
1.092974, 1.127394
1.093159, 1.127392
1.093342, 1.127390
1.093525, 1.127388
1.093707, 1.127385
1.093888, 1.127383
1.094068, 1.127381
1.094245, 1.127379
1.094421, 1.127377
1.094595, 1.127374
1.094767, 1.127372
1.094936, 1.127370
1.095103, 1.127368
1.095268, 1.127366
1.095429, 1.127364
1.095587, 1.127361
1.095743, 1.127359
1.095895, 1.127357
1.096044, 1.127355
1.096190, 1.127353
1.096332, 1.127351
1.096470, 1.127349
1.096605, 1.127347
1.096737, 1.127344
1.096864, 1.127342
1.096988, 1.127340
1.097108, 1.127338
1.097224, 1.127336
1.097336, 1.127334
1.097444, 1.127332
1.097549, 1.127330
1.097649, 1.127328
1.097745, 1.127326
1.097838, 1.127324
1.097926, 1.127322
1.098011, 1.127320
1.098092, 1.127317
1.098168, 1.127315
1.098241, 1.127313
1.098310, 1.127311
1.098376, 1.127309
1.098437, 1.127307
1.098495, 1.127305
1.098549, 1.127303
1.098599, 1.127301
1.098645, 1.127299
1.098688, 1.127297
1.098728, 1.127295
1.098764, 1.127293
1.098796, 1.127291
1.098826, 1.127289
1.098851, 1.127287
1.098874, 1.127285
1.098893, 1.127283
1.098909, 1.127281
1.098922, 1.127280
1.098932, 1.127278
1.098939, 1.127276
1.098943, 1.127274
1.098944, 1.127272
1.098943, 1.127270
1.098938, 1.127268
1.098931, 1.127266
1.098921, 1.127264
1.098909, 1.127262
1.098894, 1.127260
1.098876, 1.127258
1.098856, 1.127256
1.098834, 1.127255
1.098810, 1.127253
1.098783, 1.127251
1.098754, 1.127249
1.098722, 1.127247
1.098689, 1.127245
1.098654, 1.127243
1.098616, 1.127241
1.098577, 1.127240
1.098536, 1.127238
1.098492, 1.127236
1.098447, 1.127234
1.098400, 1.127232
1.098352, 1.127230
1.098302, 1.127229
1.098250, 1.127227
1.098196, 1.127225
1.098141, 1.127223
1.098084, 1.127221
1.098026, 1.127220
1.097967, 1.127218
1.097905, 1.127216
1.097843, 1.127214
1.097779, 1.127212
1.097714, 1.127211
1.097647, 1.127209
1.097580, 1.127207
1.097511, 1.127205
1.097440, 1.127204
1.097369, 1.127202
1.097296, 1.127200
1.097223, 1.127198
1.097148, 1.127197
1.097072, 1.127195
1.096995, 1.127193
1.096917, 1.127191
1.096837, 1.127190
1.096757, 1.127188
1.096676, 1.127186
1.096594, 1.127185
1.096511, 1.127183
1.096427, 1.127181
1.096342, 1.127180
1.096256, 1.127178
1.096170, 1.127176
1.096082, 1.127175
1.095994, 1.127173
1.095905, 1.127171
1.095814, 1.127170
1.095724, 1.127168
1.095632, 1.127166
1.095540, 1.127165
1.095446, 1.127163
1.095352, 1.127161
1.095258, 1.127160
1.095162, 1.127158
1.095066, 1.127157
1.094970, 1.127155
1.094872, 1.127153
1.094774, 1.127152
1.094675, 1.127150
1.094576, 1.127149
1.094476, 1.127147
1.094375, 1.127145
1.094274, 1.127144
1.094172, 1.127142
1.094069, 1.127141
1.093966, 1.127139
1.093862, 1.127138
1.093758, 1.127136
1.093654, 1.127135
1.093548, 1.127133
1.093443, 1.127132
1.093337, 1.127130
1.093230, 1.127129
