Ta, Tb
0.943005, 1.156540
0.942850, 1.156540
0.942688, 1.156540
0.942519, 1.156540
0.942341, 1.156540
0.942157, 1.156540
0.941964, 1.156540
0.941764, 1.156540
0.941557, 1.156540
0.941342, 1.156540
0.941119, 1.156540
0.940889, 1.156540
0.940652, 1.156540
0.940407, 1.156540
0.940156, 1.156540
0.939897, 1.156540
0.939632, 1.156540
0.939360, 1.156540
0.939081, 1.156540
0.938796, 1.156540
0.938506, 1.156540
0.938210, 1.156540
0.937908, 1.156540
0.937601, 1.156540
0.937290, 1.156540
0.936975, 1.156540
0.936655, 1.156540
0.936332, 1.156540
0.936006, 1.156540
0.935678, 1.156540
0.935348, 1.156540
0.935016, 1.156540
0.934683, 1.156540
0.934350, 1.156540
0.934017, 1.156540
0.933685, 1.156540
0.933355, 1.156540
0.933026, 1.156540
0.932701, 1.156540
0.932378, 1.156540
0.932061, 1.156540
0.931747, 1.156540
0.931440, 1.156540
0.931139, 1.156540
0.930844, 1.156540
0.930557, 1.156540
0.930279, 1.156540
0.930010, 1.156540
0.929750, 1.156540
0.929501, 1.156540
0.929263, 1.156540
0.929036, 1.156540
0.928822, 1.156540
0.928621, 1.156540
0.928433, 1.156540
0.928259, 1.156540
0.928099, 1.156540
0.927955, 1.156540
0.927825, 1.156540
0.927711, 1.156540
0.927614, 1.156540
0.927532, 1.156540
0.927467, 1.156540
0.927418, 1.156540
0.927387, 1.156540
0.927372, 1.156540
0.927374, 1.156540
0.927393, 1.156540
0.927429, 1.156540
0.927482, 1.156540
0.927551, 1.156540
0.927636, 1.156540
0.927738, 1.156540
0.927856, 1.156540
0.927988, 1.156540
0.928136, 1.156540
0.928299, 1.156540
0.928476, 1.156540
0.928666, 1.156540
0.928869, 1.156540
0.929085, 1.156540
0.929313, 1.156540
0.929552, 1.156540
0.929802, 1.156540
0.930062, 1.156540
0.930332, 1.156540
0.930609, 1.156540
0.930895, 1.156540
0.931188, 1.156540
0.931488, 1.156540
0.931794, 1.156540
0.932104, 1.156540
0.932420, 1.156540
0.932739, 1.156540
0.933061, 1.156540
0.933385, 1.156540
0.933711, 1.156540
0.934039, 1.156540
0.934366, 1.156540
0.934694, 1.156540
0.935021, 1.156540
0.935347, 1.156540
0.935671, 1.156540
0.935993, 1.156540
0.936312, 1.156540
0.936628, 1.156540
0.936940, 1.156540
0.937248, 1.156540
0.937551, 1.156540
0.937850, 1.156540
0.938143, 1.156540
0.938431, 1.156540
0.938713, 1.156540
0.938989, 1.156540
0.939258, 1.156540
0.939521, 1.156540
0.939778, 1.156540
0.940027, 1.156540
0.940269, 1.156540
0.940505, 1.156540
0.940732, 1.156540
0.940953, 1.156540
0.941166, 1.156540
0.941371, 1.156540
0.941569, 1.156540
0.941759, 1.156540
0.941942, 1.156540
0.942117, 1.156540
0.942285, 1.156540
0.942445, 1.156540
0.942597, 1.156540
0.942742, 1.156540
0.942880, 1.156540
0.943010, 1.156540
0.943133, 1.156540
0.943249, 1.156540
0.943358, 1.156540
0.943460, 1.156540
0.943555, 1.156540
0.943643, 1.156540
0.943725, 1.156540
0.943800, 1.156540
0.943869, 1.156540
0.943931, 1.156540
0.943988, 1.156540
0.944039, 1.156540
0.944083, 1.156540
0.944122, 1.156540
0.944156, 1.156540
0.944184, 1.156540
0.944207, 1.156540
0.944225, 1.156540
0.944238, 1.156540
0.944245, 1.156540
0.944249, 1.156540
0.944247, 1.156540
0.944241, 1.156540
0.944231, 1.156540
0.944217, 1.156540
0.944199, 1.156540
0.944176, 1.156540
0.944150, 1.156540
0.944121, 1.156540
0.944088, 1.156540
0.944051, 1.156540
0.944011, 1.156540
0.943968, 1.156540
0.943922, 1.156540
0.943873, 1.156540
0.943821, 1.156540
0.943767, 1.156540
0.943710, 1.156540
0.943650, 1.156540
0.943588, 1.156540
0.943524, 1.156540
0.943457, 1.156540
0.943389, 1.156540
0.943318, 1.156540
0.943246, 1.156540
0.943171, 1.156540
0.943095, 1.156540
0.943017, 1.156540
0.942938, 1.156540
0.942857, 1.156540
0.942774, 1.156540
0.942691, 1.156540
0.942606, 1.156540
0.942519, 1.156540
0.942432, 1.156540
0.942343, 1.156540
0.942254, 1.156540
0.942163, 1.156540
0.942072, 1.156540
0.941980, 1.156540
0.941886, 1.156540
0.941793, 1.156540
