Ra, Rb
0.863071, 0.146890
0.864459, 0.147008
0.865846, 0.147126
0.867234, 0.147244
0.868621, 0.147362
0.870009, 0.147480
0.871397, 0.147597
0.872784, 0.147715
0.874172, 0.147832
0.875559, 0.147949
0.876947, 0.148066
0.878334, 0.148184
0.879722, 0.148301
0.881110, 0.148417
0.882497, 0.148534
0.883885, 0.148651
0.885272, 0.148768
0.886660, 0.148884
0.888048, 0.149001
0.889435, 0.149117
0.890823, 0.149233
0.892210, 0.149349
0.893598, 0.149466
0.894985, 0.149582
0.896373, 0.149697
0.897761, 0.149813
0.899148, 0.149929
0.900536, 0.150045
0.901923, 0.150160
0.903311, 0.150276
0.904698, 0.150391
0.906086, 0.150506
0.907474, 0.150622
0.908861, 0.150737
0.910249, 0.150852
0.911636, 0.150967
0.913024, 0.151081
0.914411, 0.151196
0.915799, 0.151311
0.917187, 0.151425
0.918574, 0.151540
0.919962, 0.151654
0.921349, 0.151769
0.922737, 0.151883
0.924124, 0.151997
0.925512, 0.152111
0.926900, 0.152225
0.928287, 0.152339
0.929675, 0.152453
0.931062, 0.152567
0.932450, 0.152680
0.933837, 0.152794
0.935225, 0.152907
0.936613, 0.153021
0.938000, 0.153134
0.939388, 0.153247
0.940775, 0.153360
0.942163, 0.153473
0.943550, 0.153586
0.944938, 0.153699
0.946326, 0.153812
0.947713, 0.153925
0.949101, 0.154037
0.950488, 0.154150
0.951876, 0.154262
0.953263, 0.154375
0.954651, 0.154487
0.956039, 0.154599
0.957426, 0.154712
0.958814, 0.154824
0.960201, 0.154936
0.961589, 0.155047
0.962977, 0.155159
0.964364, 0.155271
0.965752, 0.155383
0.967139, 0.155494
0.968527, 0.155606
0.969914, 0.155717
0.971302, 0.155829
0.972690, 0.155940
0.974077, 0.156051
0.975465, 0.156162
0.976852, 0.156273
0.978240, 0.156384
0.979627, 0.156495
0.981015, 0.156606
0.982403, 0.156717
0.983790, 0.156827
0.985178, 0.156938
0.986565, 0.157048
0.987953, 0.157159
0.989340, 0.157269
0.990728, 0.157379
0.992116, 0.157489
0.993503, 0.157599
0.994891, 0.157709
0.996278, 0.157819
0.997666, 0.157929
0.999053, 0.158039
1.000441, 0.158149
1.001829, 0.158258
1.003216, 0.158368
1.004604, 0.158477
1.005991, 0.158587
1.007379, 0.158696
1.008766, 0.158805
1.010154, 0.158915
1.011542, 0.159024
1.012929, 0.159133
1.014317, 0.159242
1.015704, 0.159351
1.017092, 0.159459
1.018479, 0.159568
1.019867, 0.159677
1.021255, 0.159785
1.022642, 0.159894
1.024030, 0.160002
1.025417, 0.160111
1.026805, 0.160219
1.028192, 0.160327
1.029580, 0.160435
1.030968, 0.160543
1.032355, 0.160651
1.033743, 0.160759
1.035130, 0.160867
1.036518, 0.160975
1.037906, 0.161083
1.039293, 0.161190
1.040681, 0.161298
1.042068, 0.161405
1.043456, 0.161513
1.044843, 0.161620
1.046231, 0.161727
1.047619, 0.161835
1.049006, 0.161942
1.050394, 0.162049
1.051781, 0.162156
1.053169, 0.162263
1.054556, 0.162370
1.055944, 0.162476
1.057332, 0.162583
1.058719, 0.162690
1.060107, 0.162796
1.061494, 0.162903
1.062882, 0.163009
1.064269, 0.163116
1.065657, 0.163222
1.067045, 0.163328
1.068432, 0.163434
1.069820, 0.163540
1.071207, 0.163647
1.072595, 0.163752
1.073982, 0.163858
1.075370, 0.163964
1.076758, 0.164070
1.078145, 0.164176
1.079533, 0.164281
1.080920, 0.164387
1.082308, 0.164492
1.083695, 0.164598
1.085083, 0.164703
1.086471, 0.164808
1.087858, 0.164913
1.089246, 0.165019
1.090633, 0.165124
1.092021, 0.165229
1.093408, 0.165334
1.094796, 0.165439
1.096184, 0.165543
1.097571, 0.165648
1.098959, 0.165753
1.100346, 0.165857
1.101734, 0.165962
1.103122, 0.166066
1.104509, 0.166171
1.105897, 0.166275
1.107284, 0.166379
1.108672, 0.166484
1.110059, 0.166588
1.111447, 0.166692
1.112835, 0.166796
1.114222, 0.166900
1.115610, 0.167004
1.116997, 0.167108
1.118385, 0.167211
1.119772, 0.167315
1.121160, 0.167419
1.122548, 0.167522
1.123935, 0.167626
1.125323, 0.167729
1.126710, 0.167833
1.128098, 0.167936
1.129485, 0.168039
1.130873, 0.168142
1.132261, 0.168245
1.133648, 0.168348
1.135036, 0.168451
1.136423, 0.168554
1.137811, 0.168657
1.139198, 0.168760
1.140586, 0.168863
1.141974, 0.168965
1.143361, 0.169068
1.144749, 0.169171
1.146136, 0.169273
1.147524, 0.169376
1.148911, 0.169478
1.150299, 0.169580
1.151687, 0.169683
1.153074, 0.169785
1.154462, 0.169887
1.155849, 0.169989
1.157237, 0.170091
1.158624, 0.170193
1.160012, 0.170295
1.161400, 0.170397
1.162787, 0.170498
1.164175, 0.170600
1.165562, 0.170702
1.166950, 0.170803
1.168337, 0.170905
1.169725, 0.171006
1.171113, 0.171108
1.172500, 0.171209
1.173888, 0.171310
1.175275, 0.171411
1.176663, 0.171513
1.178051, 0.171614
1.179438, 0.171715
1.180826, 0.171816
1.182213, 0.171917
1.183601, 0.172017
1.184988, 0.172118
1.186376, 0.172219
1.187764, 0.172320
1.189151, 0.172420
1.190539, 0.172521
1.191926, 0.172621
1.193314, 0.172722
1.194701, 0.172822
1.196089, 0.172923
1.197477, 0.173023
1.198864, 0.173123
1.200252, 0.173223
1.201639, 0.173323
1.203027, 0.173423
1.204414, 0.173523
1.205802, 0.173623
1.207190, 0.173723
1.208577, 0.173823
1.209965, 0.173923
1.211352, 0.174022
1.212740, 0.174122
1.214127, 0.174222
1.215515, 0.174321
1.216903, 0.174421
1.218290, 0.174520
1.219678, 0.174619
1.221065, 0.174719
1.222453, 0.174818
1.223840, 0.174917
1.225228, 0.175016
1.226616, 0.175115
1.228003, 0.175214
1.229391, 0.175313
1.230778, 0.175412
1.232166, 0.175511
1.233553, 0.175610
1.234941, 0.175709
1.236329, 0.175807
1.237716, 0.175906
1.239104, 0.176005
1.240491, 0.176103
1.241879, 0.176202
1.243267, 0.176300
1.244654, 0.176398
1.246042, 0.176497
1.247429, 0.176595
1.248817, 0.176693
1.250204, 0.176791
1.251592, 0.176889
1.252980, 0.176987
1.254367, 0.177085
1.255755, 0.177183
1.257142, 0.177281
1.258530, 0.177379
1.259917, 0.177477
1.261305, 0.177574
1.262693, 0.177672
1.264080, 0.177770
1.265468, 0.177867
1.266855, 0.177965
1.268243, 0.178062
1.269630, 0.178159
1.271018, 0.178257
1.272406, 0.178354
1.273793, 0.178451
1.275181, 0.178548
1.276568, 0.178645
1.277956, 0.178743
1.279343, 0.178840
1.280731, 0.178937
1.282119, 0.179033
1.283506, 0.179130
1.284894, 0.179227
1.286281, 0.179324
1.287669, 0.179421
1.289056, 0.179517
1.290444, 0.179614
1.291832, 0.179710
1.293219, 0.179807
1.294607, 0.179903
1.295994, 0.180000
1.297382, 0.180096
1.298769, 0.180192
1.300157, 0.180288
1.301545, 0.180385
1.302932, 0.180481
1.304320, 0.180577
1.305707, 0.180673
1.307095, 0.180769
1.308482, 0.180865
1.309870, 0.180961
1.311258, 0.181056
1.312645, 0.181152
1.314033, 0.181248
1.315420, 0.181344
1.316808, 0.181439
1.318196, 0.181535
1.319583, 0.181630
1.320971, 0.181726
1.322358, 0.181821
1.323746, 0.181917
1.325133, 0.182012
1.326521, 0.182107
1.327909, 0.182202
1.329296, 0.182298
1.330684, 0.182393
1.332071, 0.182488
1.333459, 0.182583
1.334846, 0.182678
1.336234, 0.182773
1.337622, 0.182868
1.339009, 0.182962
1.340397, 0.183057
1.341784, 0.183152
1.343172, 0.183247
1.344559, 0.183341
1.345947, 0.183436
1.347335, 0.183530
1.348722, 0.183625
1.350110, 0.183719
1.351497, 0.183814
1.352885, 0.183908
1.354272, 0.184002
1.355660, 0.184096
1.357048, 0.184191
1.358435, 0.184285
1.359823, 0.184379
1.361210, 0.184473
1.362598, 0.184567
1.363985, 0.184661
1.365373, 0.184755
1.366761, 0.184849
1.368148, 0.184942
1.369536, 0.185036
1.370923, 0.185130
1.372311, 0.185224
1.373698, 0.185317
1.375086, 0.185411
1.376474, 0.185504
1.377861, 0.185598
1.379249, 0.185691
1.380636, 0.185785
1.382024, 0.185878
1.383411, 0.185971
1.384799, 0.186064
1.386187, 0.186158
1.387574, 0.186251
1.388962, 0.186344
1.390349, 0.186437
1.391737, 0.186530
1.393125, 0.186623
1.394512, 0.186716
1.395900, 0.186809
1.397287, 0.186902
1.398675, 0.186994
1.400062, 0.187087
1.401450, 0.187180
1.402838, 0.187272
1.404225, 0.187365
1.405613, 0.187458
1.407000, 0.187550
1.408388, 0.187642
1.409775, 0.187735
1.411163, 0.187827
1.412551, 0.187920
1.413938, 0.188012
1.415326, 0.188104
1.416713, 0.188196
1.418101, 0.188288
1.419488, 0.188380
1.420876, 0.188473
1.422264, 0.188565
1.423651, 0.188657
1.425039, 0.188748
1.426426, 0.188840
1.427814, 0.188932
1.429201, 0.189024
1.430589, 0.189116
1.431977, 0.189207
1.433364, 0.189299
1.434752, 0.189391
1.436139, 0.189482
1.437527, 0.189574
1.438914, 0.189665
1.440302, 0.189757
1.441690, 0.189848
1.443077, 0.189939
1.444465, 0.190031
1.445852, 0.190122
1.447240, 0.190213
1.448627, 0.190304
1.450015, 0.190395
1.451403, 0.190486
1.452790, 0.190577
1.454178, 0.190668
1.455565, 0.190759
1.456953, 0.190850
1.458341, 0.190941
1.459728, 0.191032
1.461116, 0.191123
1.462503, 0.191213
1.463891, 0.191304
1.465278, 0.191395
1.466666, 0.191485
1.468054, 0.191576
1.469441, 0.191666
1.470829, 0.191757
1.472216, 0.191847
1.473604, 0.191938
1.474991, 0.192028
1.476379, 0.192118
1.477767, 0.192209
1.479154, 0.192299
1.480542, 0.192389
1.481929, 0.192479
1.483317, 0.192569
1.484704, 0.192659
1.486092, 0.192749
1.487480, 0.192839
1.488867, 0.192929
1.490255, 0.193019
1.491642, 0.193109
1.493030, 0.193199
1.494417, 0.193288
1.495805, 0.193378
1.497193, 0.193468
1.498580, 0.193557
1.499968, 0.193647
1.501355, 0.193737
1.502743, 0.193826
1.504130, 0.193916
1.505518, 0.194005
1.506906, 0.194094
1.508293, 0.194184
1.509681, 0.194273
1.511068, 0.194362
1.512456, 0.194452
1.513843, 0.194541
1.515231, 0.194630
1.516619, 0.194719
1.518006, 0.194808
1.519394, 0.194897
1.520781, 0.194986
1.522169, 0.195075
1.523556, 0.195164
1.524944, 0.195253
1.526332, 0.195341
1.527719, 0.195430
1.529107, 0.195519
1.530494, 0.195608
1.531882, 0.195696
1.533270, 0.195785
1.534657, 0.195873
1.536045, 0.195962
1.537432, 0.196051
1.538820, 0.196139
1.540207, 0.196227
1.541595, 0.196316
1.542983, 0.196404
1.544370, 0.196492
1.545758, 0.196581
1.547145, 0.196669
1.548533, 0.196757
1.549920, 0.196845
1.551308, 0.196933
1.552696, 0.197021
1.554083, 0.197109
1.555471, 0.197197
1.556858, 0.197285
1.558246, 0.197373
1.559633, 0.197461
1.561021, 0.197549
1.562409, 0.197637
1.563796, 0.197724
