Ra, Rb
3.339238, 0.288931
3.343454, 0.289113
3.347671, 0.289295
3.351887, 0.289477
3.356103, 0.289659
3.360319, 0.289841
3.364535, 0.290023
3.368752, 0.290205
3.372968, 0.290386
3.377184, 0.290568
3.381400, 0.290749
3.385616, 0.290930
3.389833, 0.291111
3.394049, 0.291292
3.398265, 0.291473
3.402481, 0.291654
3.406698, 0.291835
3.410914, 0.292015
3.415130, 0.292196
3.419346, 0.292376
3.423562, 0.292556
3.427779, 0.292736
3.431995, 0.292916
3.436211, 0.293096
3.440427, 0.293276
3.444643, 0.293455
3.448860, 0.293635
3.453076, 0.293814
3.457292, 0.293994
3.461508, 0.294173
3.465724, 0.294352
3.469941, 0.294531
3.474157, 0.294710
3.478373, 0.294889
3.482589, 0.295067
3.486806, 0.295246
3.491022, 0.295424
3.495238, 0.295603
3.499454, 0.295781
3.503670, 0.295959
3.507887, 0.296137
3.512103, 0.296315
3.516319, 0.296493
3.520535, 0.296670
3.524751, 0.296848
3.528968, 0.297026
3.533184, 0.297203
3.537400, 0.297380
3.541616, 0.297557
3.545832, 0.297734
3.550049, 0.297911
3.554265, 0.298088
3.558481, 0.298265
3.562697, 0.298442
3.566914, 0.298618
3.571130, 0.298795
3.575346, 0.298971
3.579562, 0.299147
3.583778, 0.299323
3.587995, 0.299499
3.592211, 0.299675
3.596427, 0.299851
3.600643, 0.300027
3.604859, 0.300202
3.609076, 0.300378
3.613292, 0.300553
3.617508, 0.300729
3.621724, 0.300904
3.625940, 0.301079
3.630157, 0.301254
3.634373, 0.301429
3.638589, 0.301604
3.642805, 0.301778
3.647021, 0.301953
3.651238, 0.302127
3.655454, 0.302302
3.659670, 0.302476
3.663886, 0.302650
3.668103, 0.302824
3.672319, 0.302998
3.676535, 0.303172
3.680751, 0.303346
3.684967, 0.303520
3.689184, 0.303693
3.693400, 0.303867
3.697616, 0.304040
3.701832, 0.304213
3.706048, 0.304387
3.710265, 0.304560
3.714481, 0.304733
3.718697, 0.304906
3.722913, 0.305078
3.727129, 0.305251
3.731346, 0.305424
3.735562, 0.305596
3.739778, 0.305769
3.743994, 0.305941
3.748211, 0.306113
3.752427, 0.306285
3.756643, 0.306457
3.760859, 0.306629
3.765075, 0.306801
3.769292, 0.306973
3.773508, 0.307144
3.777724, 0.307316
3.781940, 0.307487
3.786156, 0.307659
